Finansal Göstergeler,Değerler
Toplam Varlıklar,185.508.989
Kısa Vadeli Borçlar,58.335.135
Uzun Vadeli Borçlar,13.912.536
Toplam Özkaynaklar,Bulunamadı
Net Kâr,Bulunamadı
Brüt Kâr,11.409.741
FAVÖK,9.313.884
Nakit Akışları,...........................................................................................................................................
Borç/Özkaynak Oranı,Hesaplanamadı
Hisse Başına Kâr (EPS),Hesaplanamadı
