Finansal Göstergeler,Değerler
Toplam Varlıklar,163.168.448
Kısa Vadeli Borçlar,45.566.833
Uzun Vadeli Borçlar,14.713.473
Toplam Özkaynaklar,Bulunamadı
Net Kâr,Bulunamadı
Brüt Kâr,4.380.643
FAVÖK,4.482.367
Nakit Akışları,...........................................................................................................................................
Borç/Özkaynak Oranı,Hesaplanamadı
Hisse Başına Kâr (EPS),Hesaplanamadı
