Finansal Göstergeler,Değerler
Toplam Varlıklar,77.300.847
Kısa Vadeli Borçlar,27.094.716
Uzun Vadeli Borçlar,8.068.997
Toplam Özkaynaklar,Bulunamadı
Net Kâr,Bulunamadı
Brüt Kâr,2.513.219
FAVÖK,2.560.911
Nakit Akışları,...........................................................................................................................................
Borç/Özkaynak Oranı,Hesaplanamadı
Hisse Başına Kâr (EPS),Hesaplanamadı
