Finansal Göstergeler,Değerler
Toplam Varlıklar,212.308.828
Kısa Vadeli Borçlar,61.036.098
Uzun Vadeli Borçlar,25.918.868
Toplam Özkaynaklar,Bulunamadı
Net Kâr,Bulunamadı
Brüt Kâr,18.771.175
FAVÖK,14.368.042
Nakit Akışları,...........................................................................................................................................
Borç/Özkaynak Oranı,Hesaplanamadı
Hisse Başına Kâr (EPS),Hesaplanamadı
