Finansal Göstergeler,Değerler
Toplam Varlıklar,242.797.511
Kısa Vadeli Borçlar,69.761.393
Uzun Vadeli Borçlar,31.676.969
Toplam Özkaynaklar,Bulunamadı
Net Kâr,Bulunamadı
Brüt Kâr,38.158.191
FAVÖK,27.315.635
Nakit Akışları,...........................................................................................................................................
Borç/Özkaynak Oranı,Hesaplanamadı
Hisse Başına Kâr (EPS),Hesaplanamadı
