Finansal Göstergeler,Değerler
Toplam Varlıklar,99.351.769
Kısa Vadeli Borçlar,40.072.767
Uzun Vadeli Borçlar,9.968.530
Toplam Özkaynaklar,Bulunamadı
Net Kâr,Bulunamadı
Brüt Kâr,9.509.092
FAVÖK,14.361.116
Nakit Akışları,...........................................................................................................................................
Borç/Özkaynak Oranı,Hesaplanamadı
Hisse Başına Kâr (EPS),Hesaplanamadı
