Finansal Göstergeler,Değerler
Toplam Varlıklar,150.577.885
Kısa Vadeli Borçlar,50.178.593
Uzun Vadeli Borçlar,12.018.914
Toplam Özkaynaklar,Bulunamadı
Net Kâr,Bulunamadı
Brüt Kâr,20.105.180
FAVÖK,24.973.743
Nakit Akışları,...........................................................................................................................................
Borç/Özkaynak Oranı,Hesaplanamadı
Hisse Başına Kâr (EPS),Hesaplanamadı
