,entryId,content,date,entryUrl,type,favoriteCount,issueTitle,issueUrl,authorId,authorName,authorUrl,authorAvatar
633,80984436.0,onu milliyetçiliği ayaklar altına alana soracaksın deleganlı :),2018-09-05 13:46:00,https:/www.eksisozluk.com/entry/80984436,entry,166.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,1367527.0,bilgisayar,https:/www.eksisozluk.com/biri/bilgisayar,https://ekstat.com/img/default-profile-picture-light.svg
634,80985009.0,(bkz: oraya +1 yazmanizi rica ediciiim),2018-09-05 14:05:00,https:/www.eksisozluk.com/entry/80985009,entry,20.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,1063014.0,sisisisi silifkenin yogurdu,https:/www.eksisozluk.com/biri/sisisisi-silifkenin-yogurdu,https://ekstat.com/img/default-profile-picture-light.svg
635,80985431.0,ülkeyi sadece savunma sanayii çalışanları terk etmiyor. diğer sektörlerde az sayıdaki kaliteli personel de elindeki imkanlar ve bulabildiği iş potansiyeli boyutunda ülkeyi terk ediyor. ülkede belirli bir kalitenin üzerinde eleman bulabilmek giderek zorlaşıyor.,2018-09-05 14:18:00,https:/www.eksisozluk.com/entry/80985431,entry,1.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,1627248.0,callofnature,https:/www.eksisozluk.com/biri/callofnature,https://img.ekstat.com/profiles/callofnature-636757408464472451.jpg
636,80985473.0,"daha genel olarak ""üreten sektörlerde çalışanların ülkeyi terketmesi"" şeklinde düzeltebiliriz. savunma sanayii özelinde ise konuyu şu şekilde ele alabiliriz;",05.09.2018 14:19 ~ 11.09.2018 00:01,https:/www.eksisozluk.com/entry/80985473,entry,64.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,1599361.0,peritosu,https:/www.eksisozluk.com/biri/peritosu,https://ekstat.com/img/default-profile-picture-light.svg
637,,"savunma sanayii, en çok regülasyon ve kısıtın olduğu sektördür. inisiyatif almanın en zor olduğu sektörlerden biridir. bir şey geliştiriliyorsa bunun yolu genellikle bellidir, aldığı zaman ve gerektirdiği maliyet, personel sayısı vs. nettir. bu sıkılık ve disiplin yüzünden biraz daha sağlamdır, daha diktir.",,,,,,,,,,
638,,"yazılım sektöründe çalışanlar bilirler. bir ürünü deadline'a yetiştirmek dertli bir iştir. bir bürokratın ya da daha üst düzey birinin ağzından ""29 ekimde bu ürünü kullanmaya başlayacağız"" gibi bir laf çıkarsa ve bunun temeli ve fizibilitesi yoksa yazılımcı için kabus dolu günler başlar.",,,,,,,,,,
639,,"savunma sektöründe bu pek yapılmaz. yapılmazdı. çünkü türkiye bir nato ülkesi ve nato kapsamında geliştirilen ürünler belirli kurallara uygun olarak ilerler. sağlam ve dik kelimelerini kullanmamın amacı buydu. fakat son zamanlarda, yapılan işlerin iki dudağın arasında olması olayı savunma sanayinde de olmaya başladı. örneğin normalde 3 ayda geliştirilmesi gereken bir modül için 1 ayda bitirilmesi gerektiği durumlar yaşanmaya başladı.",,,,,,,,,,
640,,önceki düzene alışan savunma sanayii çalışanları da bu sebeplerden ve günümüz ve ülkemiz şartlarından dolayı yurtdışına çıkmayı tercih ediyorlar.,,,,,,,,,,
642,,savunma sanayiinde çalışıyorum. türkiye şartlarında iyi bir maaş alıyorum. fakat ben de diğer gidenler gibi gitmek istiyorum. yukarıda yazdıklarım genelleme içerse de çevremde gördüklerim ve benim görüşlerimdir.,,,,,,,,,,
644,,"edit: ""sen gittin diye ülke batacak mı sanıyorsun"", ""neden algı yaratıyorsun"", ""hem ekmeğini yiyip hem de bok atma"" mesajları geldi. evet kardeşim ben gittim diye ülke batmayacak. batmamasını temenni ediyorum. ama bu konuda çabalamaktan, görüşlerimden dolayı fikirlerimin, ilmimin önemsenmemesinden bıktım. dediğin gibi ben bencil bir pisliğim. kendimi, çocuklarımı, geleceğimi düşündüğüm için üniversite giriş sınavının seçimden daha fazla önemsendiği bir yere göç etmek istiyorum. bu entry'yi yazdıktan kısa bir süre sonra da yurtdışından iş teklifi aldım. çünkü dış güçler beni kandırıyor.",,,,,,,,,,
645,80987619.0,gittikleri ülkeden yol yabdı deyip malum partiye oy vermesinler yeter.,2018-09-05 15:29:00,https:/www.eksisozluk.com/entry/80987619,entry,8.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,1418947.0,outdoor,https:/www.eksisozluk.com/biri/outdoor,https://img.ekstat.com/profiles/outdoor-638311073643077106.jpg
647,,t: savunma sanayi çalışanlarının yaşamak için diğer ülkelere göç etmesidir.,,,,,,,,,,
648,80987625.0,sadece savunma sanayiinde olduğunu düşünmüyorum.,2018-09-05 15:29:00,https:/www.eksisozluk.com/entry/80987625,entry,0.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,653090.0,konu disi yazar,https:/www.eksisozluk.com/biri/konu-disi-yazar,https://img.ekstat.com/profiles/konu-disi-yazar-638331470444467369.jpg
649,80988138.0,dünyanın en büyük 100 savunma sanayi şirketi arasına türkiye 3 şirket sokmayı başarmıştır. bu şirketler katma değerli ürün gamını geliştirerek ihracatta da türkiye'yi daha üst noktalara umarım taşırlar.,05.09.2018 15:45 ~ 08.09.2018 14:32,https:/www.eksisozluk.com/entry/80988138,entry,1.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,2287500.0,serin malifalitiko,https:/www.eksisozluk.com/biri/serin-malifalitiko,https://ekstat.com/img/default-profile-picture-light.svg
651,,ülkelerin yükselişleri ve düşüşleri kendi performanslarıyla alakalıdır. mazeret bulmayın kaçmayın efendiler çok çalışın.,,,,,,,,,,
